workers,"epoch time, ms",efficiency score
1,8.717826,0.925851
2,4.481803,0.986628
3,3.210087,1.020220
4,2.482063,1.047713
5,2.074347,1.067788
6,1.804709,1.083904
7,1.628222,1.096131
8,1.49046,1.106857
9,1.380453,1.116330
10,1.326558,1.121315
11,1.338513,1.120189
12,1.269212,1.126900
13,1.268516,1.126969
15,1.262192,1.127604
20,1.279859,1.125840
30,1.284095,1.125421
40,1.267694,1.127052
50,1.273817,1.126440
60,1.281668,1.125661
100,1.336934,1.120337
300,1.533487,1.103381
500,1.672926,1.092886
700,1.814019,1.083300
1000,2.146497,1.063904
1500,2.702078,1.038472
2000,3.235682,1.019394
