N,p_star_exp,p_star_model,epsilon_p,t_min_exp,t_min_model,delta_T,epsilon_T,pareto_5%,p_band_5%_min,p_band_5%_max,A,B,delta,R^2,p_sat
500,31,26,16.129032258064516,5.689462625811707,5.360310580133461,0.32915204567824574,5.785292343515239,5.628326109140135,16,53,40.52851844043798,0.5950386769461643,6.251238436119965,0.9983809214958143,24.926627354878377
1000,34,34,0.0,15.52401950123185,13.933835158900768,1.5901843423310815,10.243380216089644,14.630526916845808,21,73,144.03527979521022,6.0942514999899125e-18,17.160614900538302,0.9984465036858738,26.371144227976007
2000,60,37,38.333333333333336,30.637711,27.848684837016556,2.7890261629834434,9.10324587559248,29.241119078867385,22,86,288.216471556565,1.3384856240265988,32.04299574159616,0.9978733381591165,26.393884662275948
3000,60,37,38.333333333333336,36.95755,33.09299356557553,3.8645564344244647,10.456744114327018,34.74764324385431,22,81,360.78905923292115,1.4352746789507476e-14,40.32953339828438,0.9986474412959727,27.01131716987143
