N,p_star,T(1),T(p*),A(p*),E(p*)
500,31,41.173942,5.689462625811707,7.2368771372543765,0.23344764958885086
1000,34,144.276536,15.52401950123185,9.29376157950275,0.2733459288089044
2000,60,287.55262,30.637711,9.385577793327968,0.15642629655546614
3000,60,361.070872,36.95755,9.769881174482617,0.1628313529080436
5000,34,986.938639,93.24479665278592,10.584382983589387,0.3113053818702761
