workers,"epoch time, ms",efficiency score
1,287.55262,6.838564
2,151.133212,7.189984
3,106.772777,7.395262
4,80.947856,7.567441
5,65.594256,7.703673
6,55.012554,7.821454
7,47.667895,7.920089
8,42.849208,7.995069
9,38.602173,8.069896
10,34.93581,8.142760
11,33.783133,8.167553
12,32.680992,8.192211
13,31.652684,8.216121
15,30.868966,8.234969
20,30.69161,8.239313
30,30.828122,8.235967
40,30.75774,8.237690
50,30.810563,8.236397
60,30.637711,8.240639
100,30.830138,8.235918
300,31.17827,8.227464
500,31.357623,8.223152
700,31.652879,8.216117
1000,32.296355,8.201049
1500,32.241891,8.202311
2000,33.221185,8.180005
2500,32.976582,8.185503
