workers,"epoch time, ms",efficiency score
1,41.173942,8.365687
2,21.678326,8.840093
3,15.005901,9.137236
4,11.689053,9.350655
5,9.769996,9.510132
6,8.542701,9.633111
7,7.668004,9.734405
8,6.982998,9.823894
9,6.532027,9.888750
10,6.160648,9.946323
11,6.012069,9.970533
12,5.851492,9.997519
13,5.738246,10.020473
15,5.767527,10.011986
20,5.656775,10.031460
30,5.683619,10.026698
40,5.77491,10.010704
50,5.748878,10.015234
60,5.771086,10.017999
