workers,"epoch time, ms",efficiency score
1,986.938639,7.398835
2,500.160863,7.790612
3,338.788686,8.034446
4,254.592656,8.223212
5,206.286003,8.367993
6,171.713188,8.498445
7,149.135408,8.601494
8,131.333751,8.696579
9,117.645083,8.780630
10,107.807133,8.848480
11,103.492456,8.880576
12,99.267378,8.913570
13,97.305678,8.929456
15,94.126411,8.956022
20,93.875,8.958168
30,93.983077,8.957245
40,94.425832,8.953475
50,94.607273,8.951937
60,94.8109,8.950214
100,94.275667,8.954751
300,94.687262,8.951259
500,95.069143,8.948036
700,94.944338,8.949088
1000,95.204058,8.946900
1500,96.195654,8.938614
2000,96.428772,8.936680
2500,97.218259,8.930173
3000,98.102922,8.922955
4000,99.32552,8.913105
5000,100.049738,8.907337
