N,p_star_exp,p_star_model,epsilon_p,t_min_exp,t_min_model,delta_T,epsilon_T,pareto_5%,p_band_5%_min,p_band_5%_max,A,B,delta,kappa,R^2
100,31,23,25.806451612903224,1.2688223866264716,1.1621262206245457,0.10669616600192589,8.409070262829161,1.2202325316557732,15,37,8.52026023272663,2.198800725633938e-15,0.18201424629079385,0.4664298527138736,0.9989835485397207
500,31,24,22.58064516129032,5.689462625811707,5.291661698344617,0.39780092746708995,6.991889280762018,5.556244783261849,16,39,40.48521868471429,7.778849923498815e-14,0.8109862670752597,0.4651613784392898,0.999349408855086
1000,34,26,23.52941176470588,15.52401950123185,13.811245359872848,1.7127741413590023,11.033058424225063,14.50180762786649,18,37,144.12530099205063,1.7238432782123215e-14,0.8344678403501291,0.6994509530156062,0.9990337056908772
2000,35,27,22.857142857142858,31.49559141489891,27.97534083276188,3.520250582137031,11.17696294622296,29.374107874399975,19,38,284.01605441031484,5.369954688744351,0.6044340142083553,0.9052651909632556,0.9984490962478186
3000,28,26,7.142857142857142,36.75952245403355,33.430746539267545,3.3287759147660054,9.055547222977445,35.10228386623093,19,37,361.12455736291986,1.3006413751173163e-10,1.833960163492576,0.7222745555354334,0.9991210643625986
5000,25,26,4.0,94.39026730730268,84.38777531487335,10.002491992429327,10.59695271321206,88.60716408061703,19,36,983.4506594028247,2.450588071073199e-13,2.9908536725117454,0.8373759146461487,0.9989932023173731
