workers,"epoch time, ms",efficiency score
1,144.276536,7.706830
2,75.068294,8.115454
3,50.584984,8.384039
4,38.478843,8.580834
5,31.470805,8.732662
6,26.451437,8.867203
7,23.266494,8.967978
8,20.702005,9.064184
9,18.969023,9.136584
10,17.296786,9.214277
11,17.062522,9.225870
12,16.162297,9.270889
13,15.725275,9.295865
15,15.570932,9.303038
20,15.535276,9.306381
30,15.611465,9.289790
40,15.641802,9.300466
50,15.6414,9.300597
60,15.655747,9.300248
